City,State,code,population
Pine Bluff city,Arkansas,AR,"38,785"
Oswego village,Illinois,IL,"38,778"
Lincoln Park city,Michigan,MI,"38,774"
Lewiston city,Maine,ME,"38,772"
Rome city,Georgia,GA,"38,747"
Calexico city,California,CA,"38,744"
Roy city,Utah,UT,"38,719"
Warren city,Ohio,OH,"38,683"
Socorro city,Texas,TX,"38,642"
Westerville city,Ohio,OH,"38,612"
Erie town,Colorado,CO,"38,594"
Portage city,Indiana,IN,"38,576"
Forney city,Texas,TX,"38,572"
Phenix City city,Alabama,AL,"38,509"
Park Ridge city,Illinois,IL,"38,445"
Estero village,Florida,FL,"38,443"
Oak Creek city,Wisconsin,WI,"38,373"
Streamwood village,Illinois,IL,"38,360"
Bartlesville city,Oklahoma,OK,"38,355"
Wheeling village,Illinois,IL,"38,329"
Oregon City city,Oregon,OR,"38,327"
Longview city,Washington,WA,"38,294"
Northglenn city,Colorado,CO,"38,287"
East Point city,Georgia,GA,"38,270"
Hilton Head Island town,South Carolina,SC,"38,158"
Vestavia Hills city,Alabama,AL,"38,151"
Cleburne city,Texas,TX,"38,131"
Pleasant Grove city,Utah,UT,"38,127"
Benton city,Arkansas,AR,"38,088"
Canton city,Georgia,GA,"38,049"
La Porte city,Texas,TX,"38,046"
Hot Springs city,Arkansas,AR,"37,971"
Adelanto city,California,CA,"37,941"
San Gabriel city,California,CA,"37,926"
Holyoke city,Massachusetts,MA,"37,838"
Cibolo city,Texas,TX,"37,816"
Leesburg city,Florida,FL,"37,815"
Plainfield town,Indiana,IN,"37,796"
Monrovia city,California,CA,"37,787"
Tupelo city,Mississippi,MS,"37,775"
Kennesaw city,Georgia,GA,"37,740"
Wildomar city,California,CA,"37,736"
New Albany city,Indiana,IN,"37,652"
Montclair city,California,CA,"37,650"
Redmond city,Oregon,OR,"37,626"
Bell Gardens city,California,CA,"37,565"
Clovis city,New Mexico,NM,"37,555"
North Ridgeville city,Ohio,OH,"37,504"
Sahuarita town,Arizona,AZ,"37,448"
Leavenworth city,Kansas,KS,"37,370"
Farmers Branch city,Texas,TX,"37,341"
San Juan city,Texas,TX,"37,341"
Lauderdale Lakes city,Florida,FL,"37,333"
Muskegon city,Michigan,MI,"37,287"
Greenfield city,Wisconsin,WI,"37,232"
Tucker city,Georgia,GA,"37,224"
Carpentersville village,Illinois,IL,"37,144"
Cookeville city,Tennessee,TN,"37,102"
Pacifica city,California,CA,"37,056"
Panama City city,Florida,FL,"37,024"
Princeton city,Texas,TX,"37,019"
Martinez city,California,CA,"37,006"
Merrillville town,Indiana,IN,"36,989"
Muskogee city,Oklahoma,OK,"36,849"
Hanover Park village,Illinois,IL,"36,685"
La Puente city,California,CA,"36,670"
Beloit city,Wisconsin,WI,"36,633"
Franklin city,Wisconsin,WI,"36,591"
Hinesville city,Georgia,GA,"36,583"
Salisbury city,North Carolina,NC,"36,579"
Richfield city,Minnesota,MN,"36,491"
Fair Lawn borough,New Jersey,NJ,"36,489"
El Mirage city,Arizona,AZ,"36,468"
Rock Island city,Illinois,IL,"36,434"
Fort Mill town,South Carolina,SC,"36,244"
Inver Grove Heights city,Minnesota,MN,"36,226"
Midvale city,Utah,UT,"36,219"
Bluffton town,South Carolina,SC,"36,146"
Upper Arlington city,Ohio,OH,"36,140"
Claremont city,California,CA,"36,139"
Norristown borough,Pennsylvania,PA,"36,075"
Mason city,Ohio,OH,"36,046"
Springville city,Utah,UT,"36,027"
Watertown city,Massachusetts,MA,"35,985"
Texarkana city,Texas,TX,"35,971"
Dunedin city,Florida,FL,"35,932"
Stockbridge city,Georgia,GA,"35,893"
Addison village,Illinois,IL,"35,728"
Torrington city,Connecticut,CT,"35,673"
Roseville city,Minnesota,MN,"35,637"
Moorpark city,California,CA,"35,621"
Marion city,Ohio,OH,"35,576"
Richmond city,Indiana,IN,"35,561"
Gahanna city,Ohio,OH,"35,544"
Cooper City city,Florida,FL,"35,541"
Washington city,Utah,UT,"35,501"
Butte-Silver Bow (balance),Montana,MT,"35,480"
San Juan Capistrano city,California,CA,"35,469"
Wenatchee city,Washington,WA,"35,401"
Kingman city,Arizona,AZ,"35,383"
Mount Vernon city,Washington,WA,"35,344"
Harker Heights city,Texas,TX,"35,263"
McMinnville city,Oregon,OR,"35,255"
Englewood city,Colorado,CO,"35,238"
Statesboro city,Georgia,GA,"35,226"
Brunswick city,Ohio,OH,"35,166"
University Place city,Washington,WA,"35,160"
Randolph Town city,Massachusetts,MA,"35,114"
Fairborn city,Ohio,OH,"35,105"
Crown Point city,Indiana,IN,"35,097"
Wildwood city,Missouri,MO,"35,082"
Valparaiso city,Indiana,IN,"35,065"
Holland city,Michigan,MI,"35,023"
Opelika city,Alabama,AL,"35,005"
Temple City city,California,CA,"34,989"
Dalton city,Georgia,GA,"34,970"
Calumet City city,Illinois,IL,"34,855"
Clearfield city,Utah,UT,"34,778"
Long Beach city,New York,NY,"34,777"
Kearney city,Nebraska,NE,"34,741"
Helena city,Montana,MT,"34,729"
Lewiston city,Idaho,ID,"34,693"
Lima city,Ohio,OH,"34,690"
Del Rio city,Texas,TX,"34,678"
College Park city,Maryland,MD,"34,667"
Goldsboro city,North Carolina,NC,"34,629"
Manitowoc city,Wisconsin,WI,"34,616"
Elizabethtown city,Kentucky,KY,"34,565"
Northbrook village,Illinois,IL,"34,546"
Deer Park city,Texas,TX,"34,495"
Alabaster city,Alabama,AL,"34,460"
Goshen city,Indiana,IN,"34,458"
Leland town,North Carolina,NC,"34,451"
Waukee city,Iowa,IA,"34,420"
Lufkin city,Texas,TX,"34,399"
West Hollywood city,California,CA,"34,371"
Cornelius town,North Carolina,NC,"34,366"
Fitchburg city,Wisconsin,WI,"34,357"
Greenville city,Texas,TX,"34,355"
University City city,Missouri,MO,"34,349"
Westlake city,Ohio,OH,"34,232"
New Bern city,North Carolina,NC,"34,218"
Pleasant Hill city,California,CA,"34,169"
Woodridge village,Illinois,IL,"34,103"
Stow city,Ohio,OH,"34,101"
Petersburg city,Virginia,VA,"34,058"
Chester city,Pennsylvania,PA,"34,052"
Oak Ridge city,Tennessee,TN,"34,039"
SeaTac city,Washington,WA,"34,024"
Leawood city,Kansas,KS,"34,013"
Eastpointe city,Michigan,MI,"33,943"
Desert Hot Springs city,California,CA,"33,917"
Dover city,New Hampshire,NH,"33,909"
Walla Walla city,Washington,WA,"33,901"
Gillette city,Wyoming,WY,"33,846"
Ithaca city,New York,NY,"33,768"
Florence city,Kentucky,KY,"33,763"
Franklin Town city,Massachusetts,MA,"33,742"
Spring Valley village,New York,NY,"33,637"
Salisbury city,Maryland,MD,"33,616"
Rochester city,New Hampshire,NH,"33,598"
LaGrange city,Georgia,GA,"33,564"
Meridian city,Mississippi,MS,"33,549"
Pullman city,Washington,WA,"33,543"
Garfield city,New Jersey,NJ,"33,530"
St. Charles city,Illinois,IL,"33,482"
Nicholasville city,Kentucky,KY,"33,458"
Manhattan Beach city,California,CA,"33,453"
Eagle city,Idaho,ID,"33,451"
Brownsburg town,Indiana,IN,"33,430"
Andover city,Minnesota,MN,"33,426"
Sherwood city,Arkansas,AR,"33,281"
Bella Vista city,Arkansas,AR,"33,274"
Kaysville city,Utah,UT,"33,252"
Miami Lakes town,Florida,FL,"33,247"
San Dimas city,California,CA,"33,226"
Long Branch city,New Jersey,NJ,"33,214"
Des Moines city,Washington,WA,"33,207"
Zionsville town,Indiana,IN,"33,161"
Duluth city,Georgia,GA,"33,157"
New Smyrna Beach city,Florida,FL,"33,144"
Gadsden city,Alabama,AL,"33,086"
Dania Beach city,Florida,FL,"33,076"
Menlo Park city,California,CA,"33,040"
Sachse city,Texas,TX,"33,008"
Morristown city,Tennessee,TN,"32,994"
Sanford city,North Carolina,NC,"32,971"
Laramie city,Wyoming,WY,"32,957"
Los Gatos town,California,CA,"32,952"
Savage city,Minnesota,MN,"32,896"
Glendale Heights village,Illinois,IL,"32,866"
McDonough city,Georgia,GA,"32,803"
Massillon city,Ohio,OH,"32,750"
Aiken city,South Carolina,SC,"32,694"
Foster City city,California,CA,"32,657"
Mundelein village,Illinois,IL,"32,641"
Morrisville town,North Carolina,NC,"32,628"
Goleta city,California,CA,"32,611"
Athens city,Alabama,AL,"32,587"
Dana Point city,California,CA,"32,585"
Bangor city,Maine,ME,"32,446"
Cottonwood Heights city,Utah,UT,"32,437"
Nacogdoches city,Texas,TX,"32,381"
Bethel Park municipality,Pennsylvania,PA,"32,376"
Maryville city,Tennessee,TN,"32,373"
Chamblee city,Georgia,GA,"32,321"
Poughkeepsie city,New York,NY,"32,293"
Atwater city,California,CA,"32,248"
O'Fallon city,Illinois,IL,"32,169"
West Bend city,Wisconsin,WI,"32,149"
Naugatuck borough,Connecticut,CT,"32,116"
Shawnee city,Oklahoma,OK,"32,092"
Bay City city,Michigan,MI,"32,086"
Westfield town,New Jersey,NJ,"32,050"
Matthews town,North Carolina,NC,"32,048"
Carlsbad city,New Mexico,NM,"31,999"
Wheat Ridge city,Colorado,CO,"31,999"
Rome city,New York,NY,"31,990"
Anna city,Texas,TX,"31,986"
Bell city,California,CA,"31,930"
Banning city,California,CA,"31,929"
Lawrenceville city,Georgia,GA,"31,877"
Elk Grove Village village,Illinois,IL,"31,802"
Santa Paula city,California,CA,"31,786"
Brooklyn Center city,Minnesota,MN,"31,755"
Clayton town,North Carolina,NC,"31,732"
Fairbanks city,Alaska,AK,"31,732"
Bixby city,Oklahoma,OK,"31,728"
Statesville city,North Carolina,NC,"31,693"
North Olmsted city,Ohio,OH,"31,690"
Houma city,Louisiana,LA,"31,671"
Alamogordo city,New Mexico,NM,"31,667"
Casselberry city,Florida,FL,"31,650"
Juneau city and borough,Alaska,AK,"31,572"
El Paso de Robles (Paso Robles) city,California,CA,"31,568"
San Pablo city,California,CA,"31,562"
Seaside city,California,CA,"31,524"
Southlake city,Texas,TX,"31,500"
Northport city,Alabama,AL,"31,492"
Michigan City city,Indiana,IN,"31,466"
Princeton,New Jersey,NJ,"31,445"
Rockledge city,Florida,FL,"31,429"
Converse city,Texas,TX,"31,400"
Magna metro township,Utah,UT,"31,381"
West Melbourne city,Florida,FL,"31,378"
Harrison village,New York,NY,"31,321"
Northampton city,Massachusetts,MA,"31,315"
Kalispell city,Montana,MT,"31,296"
Pekin city,Illinois,IL,"31,266"
Liberty city,Missouri,MO,"31,245"
North Attleborough Town city,Massachusetts,MA,"31,210"
Pooler city,Georgia,GA,"31,171"
Ballwin city,Missouri,MO,"31,036"
Beverly Hills city,California,CA,"31,027"
Port Chester village,New York,NY,"30,957"
Anderson city,South Carolina,SC,"30,937"
Jackson city,Michigan,MI,"30,920"
North Royalton city,Ohio,OH,"30,894"
Burlingame city,California,CA,"30,885"
Los Altos city,California,CA,"30,864"
Winter Park city,Florida,FL,"30,835"
Hopkinsville city,Kentucky,KY,"30,800"
Highland Park city,Illinois,IL,"30,794"
Rahway city,New Jersey,NJ,"30,763"
Daphne city,Alabama,AL,"30,751"
Enterprise city,Alabama,AL,"30,731"
Crestview city,Florida,FL,"30,727"
Paragould city,Arkansas,AR,"30,680"
Fridley city,Minnesota,MN,"30,679"
North Chicago city,Illinois,IL,"30,639"
Holladay city,Utah,UT,"30,588"
Lafayette city,Colorado,CO,"30,587"
Rosemount city,Minnesota,MN,"30,581"
Gurnee village,Illinois,IL,"30,546"
Algonquin village,Illinois,IL,"30,539"
Newark city,Delaware,DE,"30,506"
Gloucester city,Massachusetts,MA,"30,491"
Morgantown city,West Virginia,WV,"30,490"
Saratoga city,California,CA,"30,486"
Bowling Green city,Ohio,OH,"30,463"
Woodburn city,Oregon,OR,"30,449"
Oakdale city,Minnesota,MN,"30,441"
Easton city,Pennsylvania,PA,"30,432"
Laguna Hills city,California,CA,"30,378"
Hazleton city,Pennsylvania,PA,"30,354"
Laurel city,Maryland,MD,"30,238"
Englewood city,New Jersey,NJ,"30,221"
Independence city,Kentucky,KY,"30,196"
La Verne city,California,CA,"30,192"
Middletown city,New York,NY,"30,188"
Chaska city,Minnesota,MN,"30,167"
Central city,Louisiana,LA,"30,161"
Lawndale city,California,CA,"30,160"
Fredericksburg city,Virginia,VA,"29,992"
North Tonawanda city,New York,NY,"29,981"
Melrose city,Massachusetts,MA,"29,938"
Niles village,Illinois,IL,"29,918"
Venice city,Florida,FL,"29,902"
Alvin city,Texas,TX,"29,869"
Schererville town,Indiana,IN,"29,780"
Mauldin city,South Carolina,SC,"29,746"
Atascadero city,California,CA,"29,743"
Conway city,South Carolina,SC,"29,656"
Suisun City city,California,CA,"29,614"
Fountain city,Colorado,CO,"29,457"
Russellville city,Arkansas,AR,"29,442"
Burton city,Michigan,MI,"29,420"
Hobart city,Indiana,IN,"29,418"
San Carlos city,California,CA,"29,403"
Oak Park city,Michigan,MI,"29,402"
Jeffersontown city,Kentucky,KY,"29,388"
Kirkwood city,Missouri,MO,"29,348"
East Palo Alto city,California,CA,"29,296"
Galesburg city,Illinois,IL,"29,289"
Marysville city,Ohio,OH,"29,276"
Raytown city,Missouri,MO,"29,244"
Bridgewater Town city,Massachusetts,MA,"29,167"
Jacksonville city,Arkansas,AR,"29,129"
Kuna city,Idaho,ID,"29,127"
Southgate city,Michigan,MI,"29,081"
West Springfield Town city,Massachusetts,MA,"29,028"
Monterey city,California,CA,"29,015"
Garfield Heights city,Ohio,OH,"29,014"
Ramsey city,Minnesota,MN,"28,999"
Happy Valley city,Oregon,OR,"28,969"
Bergenfield borough,New Jersey,NJ,"28,921"
Texarkana city,Arkansas,AR,"28,897"
Glen Ellyn village,Illinois,IL,"28,872"
Parkersburg city,West Virginia,WV,"28,834"
McHenry city,Illinois,IL,"28,825"
Mint Hill town,North Carolina,NC,"28,825"
Williston city,North Dakota,ND,"28,821"
Eagle Pass city,Texas,TX,"28,768"
Kernersville town,North Carolina,NC,"28,760"
Agawam Town city,Massachusetts,MA,"28,749"
Saratoga Springs city,New York,NY,"28,741"
Lake in the Hills village,Illinois,IL,"28,706"
Shaker Heights city,Ohio,OH,"28,689"
Madison Heights city,Michigan,MI,"28,626"
Frankfort city,Kentucky,KY,"28,610"
Burbank city,Illinois,IL,"28,606"
Sugar Hill city,Georgia,GA,"28,598"
Maple Valley city,Washington,WA,"28,553"
Palm Springs village,Florida,FL,"28,548"
Huntley village,Illinois,IL,"28,495"
New Lenox village,Illinois,IL,"28,480"
Pearl city,Mississippi,MS,"28,458"
Slidell city,Louisiana,LA,"28,440"
Ridgecrest city,California,CA,"28,373"
Port Huron city,Michigan,MI,"28,342"
Carrollton city,Georgia,GA,"28,306"
Marion city,Indiana,IN,"28,216"
Madison city,Mississippi,MS,"28,210"
Union City city,Georgia,GA,"28,195"
Fremont city,Nebraska,NE,"28,190"
Brawley city,California,CA,"28,188"
Mount Pleasant village,Wisconsin,WI,"28,184"
Newburgh city,New York,NY,"28,181"
Lake Jackson city,Texas,TX,"28,158"
Lansing village,Illinois,IL,"28,107"
Glen Cove city,New York,NY,"28,088"
New London city,Connecticut,CT,"28,081"
Simpsonville city,South Carolina,SC,"28,078"
Foley city,Alabama,AL,"28,043"
Tualatin city,Oregon,OR,"28,036"
Prior Lake city,Minnesota,MN,"28,018"
Garden City city,Kansas,KS,"27,996"
Danville city,Illinois,IL,"27,981"
Monroeville municipality,Pennsylvania,PA,"27,966"
Asheboro city,North Carolina,NC,"27,928"
Aberdeen city,South Dakota,SD,"27,919"
Homewood city,Alabama,AL,"27,919"
Wilsonville city,Oregon,OR,"27,895"
Marshalltown city,Iowa,IA,"27,886"
Jenks city,Oklahoma,OK,"27,869"
Bristol city,Tennessee,TN,"27,867"
Lemon Grove city,California,CA,"27,867"
Millville city,New Jersey,NJ,"27,838"
Tumwater city,Washington,WA,"27,826"
Winchester city,Virginia,VA,"27,800"
Henderson city,Kentucky,KY,"27,750"
Katy city,Texas,TX,"27,741"
Bridgeton city,New Jersey,NJ,"27,722"
Kent city,Ohio,OH,"27,720"
Jamestown city,New York,NY,"27,699"
Maryland Heights city,Missouri,MO,"27,671"
Dodge City city,Kansas,KS,"27,663"
Williamsport city,Pennsylvania,PA,"27,628"
Elk River city,Minnesota,MN,"27,606"
Thomasville city,North Carolina,NC,"27,605"
Allen Park city,Michigan,MI,"27,604"
Temple Terrace city,Florida,FL,"27,588"
Gladstone city,Missouri,MO,"27,579"
Cabot city,Arkansas,AR,"27,575"
Neenah city,Wisconsin,WI,"27,502"
Green city,Ohio,OH,"27,476"
Fate city,Texas,TX,"27,467"
Wilmette village,Illinois,IL,"27,443"
Hamtramck city,Michigan,MI,"27,424"
Wasco city,California,CA,"27,409"
Camas city,Washington,WA,"27,313"
Balch Springs city,Texas,TX,"27,307"
Walnut city,California,CA,"27,250"
Lindenhurst village,New York,NY,"27,160"
Newberg city,Oregon,OR,"27,136"
Belmont city,California,CA,"27,132"
Troy city,Ohio,OH,"27,122"
Round Lake Beach village,Illinois,IL,"27,091"
Sebastian city,Florida,FL,"27,087"
Trussville city,Alabama,AL,"27,079"
Forest Grove city,Oregon,OR,"27,076"
Yukon city,Oklahoma,OK,"27,068"
Lemoore city,California,CA,"27,057"
Greenville city,Mississippi,MS,"27,015"
Vernon Hills village,Illinois,IL,"27,002"
Easley city,South Carolina,SC,"27,001"
South Portland city,Maine,ME,"26,994"
Wooster city,Ohio,OH,"26,982"
Moses Lake city,Washington,WA,"26,969"
Mason City city,Iowa,IA,"26,948"
Shoreview city,Minnesota,MN,"26,939"
Lockport city,Illinois,IL,"26,915"
Ossining village,New York,NY,"26,895"
Moscow city,Idaho,ID,"26,894"
Granite City city,Illinois,IL,"26,854"
New Iberia city,Louisiana,LA,"26,849"
Oak Forest city,Illinois,IL,"26,813"
Oxford city,Mississippi,MS,"26,801"
Paramus borough,New Jersey,NJ,"26,786"
Edwardsville city,Illinois,IL,"26,715"
Paducah city,Kentucky,KY,"26,712"
Ridgewood village,New Jersey,NJ,"26,701"
Austin city,Minnesota,MN,"26,690"
Sanger city,California,CA,"26,649"
Grandview city,Missouri,MO,"26,630"
Owatonna city,Minnesota,MN,"26,626"
Superior city,Wisconsin,WI,"26,620"
Clinton city,Mississippi,MS,"26,617"
Derby city,Kansas,KS,"26,604"
West Linn city,Oregon,OR,"26,597"
Galt city,California,CA,"26,589"
Horn Lake city,Mississippi,MS,"26,574"
Twentynine Palms city,California,CA,"26,563"
South Salt Lake city,Utah,UT,"26,561"
Batavia city,Illinois,IL,"26,555"
Chicago Heights city,Illinois,IL,"26,533"
Hercules city,California,CA,"26,499"
Benicia city,California,CA,"26,477"
Stevens Point city,Wisconsin,WI,"26,465"
Lebanon city,Pennsylvania,PA,"26,456"
Denison city,Texas,TX,"26,446"
Plum borough,Pennsylvania,PA,"26,420"
Garden City city,Michigan,MI,"26,410"
El Cerrito city,California,CA,"26,409"
North Augusta city,South Carolina,SC,"26,395"
Royse City city,Texas,TX,"26,387"
Staunton city,Virginia,VA,"26,361"
Lodi borough,New Jersey,NJ,"26,358"
Nixa city,Missouri,MO,"26,352"
Soledad city,California,CA,"26,345"
Avon Lake city,Ohio,OH,"26,342"
Fairfax city,Virginia,VA,"26,340"
Centerville city,Ohio,OH,"26,311"
Greenfield city,Indiana,IN,"26,268"
Elmira city,New York,NY,"26,255"
Melissa city,Texas,TX,"26,194"
Cliffside Park borough,New Jersey,NJ,"26,183"
Winona city,Minnesota,MN,"26,173"
Tarpon Springs city,Florida,FL,"26,168"
Farmington city,Utah,UT,"26,163"
Norfolk city,Nebraska,NE,"26,162"
Franklin city,Indiana,IN,"26,158"
Reedley city,California,CA,"26,138"
Saginaw city,Texas,TX,"26,116"
Xenia city,Ohio,OH,"26,067"
Wheeling city,West Virginia,WV,"26,060"
Auburn Hills city,Michigan,MI,"26,047"
Fairhope city,Alabama,AL,"26,044"
Colleyville city,Texas,TX,"26,012"
Carteret borough,New Jersey,NJ,"26,003"
Yorkville city,Illinois,IL,"25,986"
Auburn city,New York,NY,"25,963"
Raymore city,Missouri,MO,"25,962"
Walker city,Michigan,MI,"25,921"
Salem city,Virginia,VA,"25,908"
Woodstock city,Illinois,IL,"25,892"
Brandon city,Mississippi,MS,"25,870"
Belton city,Missouri,MO,"25,861"
Windsor town,California,CA,"25,846"
Starkville city,Mississippi,MS,"25,844"
Gardner city,Kansas,KS,"25,836"
Dinuba city,California,CA,"25,833"
Pickerington city,Ohio,OH,"25,814"
Shelbyville city,Tennessee,TN,"25,792"
East Chicago city,Indiana,IN,"25,768"
Muskego city,Wisconsin,WI,"25,759"
Medina city,Ohio,OH,"25,757"
Peekskill city,New York,NY,"25,757"
Chanhassen city,Minnesota,MN,"25,746"
Centerton city,Arkansas,AR,"25,745"
Rockville Centre village,New York,NY,"25,718"
Dickinson city,North Dakota,ND,"25,695"
Middletown town,Delaware,DE,"25,686"
South Pasadena city,California,CA,"25,656"
Ottumwa city,Iowa,IA,"25,648"
Belton city,Texas,TX,"25,635"
Riverbank city,California,CA,"25,625"
Corsicana city,Texas,TX,"25,591"
Avon city,Ohio,OH,"25,573"
Imperial Beach city,California,CA,"25,568"
Fernley city,Nevada,NV,"25,508"
Patterson city,California,CA,"25,495"
West Chicago city,Illinois,IL,"25,469"
De Pere city,Wisconsin,WI,"25,453"
Eureka city,California,CA,"25,412"
Palmetto Bay village,Florida,FL,"25,402"
Norco city,California,CA,"25,400"
Pelham city,Alabama,AL,"25,396"
Lafayette city,California,CA,"25,371"
Lexington town,South Carolina,SC,"25,354"
Mequon city,Wisconsin,WI,"25,329"
Belvidere city,Illinois,IL,"25,325"
Perrysburg city,Ohio,OH,"25,313"
Mercer Island city,Washington,WA,"25,302"
University Park city,Texas,TX,"25,268"
Papillion city,Nebraska,NE,"25,248"
Farragut town,Tennessee,TN,"25,242"
Caledonia village,Wisconsin,WI,"25,240"
Key West city,Florida,FL,"25,240"
Auburn city,Maine,ME,"25,200"
Mountlake Terrace city,Washington,WA,"25,198"
Loma Linda city,California,CA,"25,197"
Herndon town,Virginia,VA,"25,180"
Hastings city,Nebraska,NE,"25,152"
Kerrville city,Texas,TX,"25,141"
Columbus city,Nebraska,NE,"25,126"
Inkster city,Michigan,MI,"25,108"
Cartersville city,Georgia,GA,"25,082"
Bessemer city,Alabama,AL,"25,079"
Norton Shores city,Michigan,MI,"25,070"
Eustis city,Florida,FL,"25,067"
Ardmore city,Oklahoma,OK,"25,064"
South Plainfield borough,New Jersey,NJ,"25,062"
Paris city,Texas,TX,"25,037"
Johnston city,Iowa,IA,"25,022"
Faribault city,Minnesota,MN,"24,983"
Alton city,Illinois,IL,"24,967"
Hazelwood city,Missouri,MO,"24,951"
South Elgin village,Illinois,IL,"24,921"
Zanesville city,Ohio,OH,"24,916"
Barstow city,California,CA,"24,897"
Florence town,Arizona,AZ,"24,891"
Fort Dodge city,Iowa,IA,"24,886"
Kingsville city,Texas,TX,"24,884"
Homer Glen village,Illinois,IL,"24,852"
Greenbelt city,Maryland,MD,"24,843"
Athens city,Ohio,OH,"24,824"
Horizon City city,Texas,TX,"24,802"
Perry city,Georgia,GA,"24,792"
Mandan city,North Dakota,ND,"24,788"
Ennis city,Texas,TX,"24,753"
Hurricane city,Utah,UT,"24,753"
Wadsworth city,Ohio,OH,"24,753"
Avon town,Indiana,IN,"24,735"
San Benito city,Texas,TX,"24,712"
Payson city,Utah,UT,"24,666"
Romulus city,Michigan,MI,"24,652"
Barberton city,Ohio,OH,"24,624"
Bainbridge Island city,Washington,WA,"24,618"
West Haven city,Utah,UT,"24,617"
Groveland city,Florida,FL,"24,602"
Zion city,Illinois,IL,"24,583"
Ridgeland city,Mississippi,MS,"24,576"
Brookings city,South Dakota,SD,"24,555"
Benbrook city,Texas,TX,"24,542"
Selma city,California,CA,"24,505"
Decatur city,Georgia,GA,"24,482"
Newport city,Rhode Island,RI,"24,482"
Riverside city,Ohio,OH,"24,472"
Morton Grove village,Illinois,IL,"24,467"
Farmington city,Minnesota,MN,"24,464"
Corinth city,Texas,TX,"24,450"
Seal Beach city,California,CA,"24,421"
Van Buren city,Arkansas,AR,"24,396"
Emporia city,Kansas,KS,"24,354"
Edgewater city,Florida,FL,"24,334"
Glassboro borough,New Jersey,NJ,"24,322"
Westmont village,Illinois,IL,"24,308"
Marshall city,Texas,TX,"24,263"
St. John town,Indiana,IN,"24,250"
Ponca City city,Oklahoma,OK,"24,234"
Wyandotte city,Michigan,MI,"24,214"
Willoughby city,Ohio,OH,"24,208"
Sandusky city,Ohio,OH,"24,174"
Kenmore city,Washington,WA,"24,166"
Oak Harbor city,Washington,WA,"24,163"
Clinton city,Iowa,IA,"24,118"
Watertown city,New York,NY,"24,038"
Melrose Park village,Illinois,IL,"23,999"
Searcy city,Arkansas,AR,"23,997"
Griffin city,Georgia,GA,"23,994"
Mustang city,Oklahoma,OK,"23,965"
Coralville city,Iowa,IA,"23,959"
Otsego city,Minnesota,MN,"23,875"
Solon city,Ohio,OH,"23,875"
Maywood city,California,CA,"23,838"
Roseburg city,Oregon,OR,"23,795"
Collinsville city,Illinois,IL,"23,766"
Kingston city,New York,NY,"23,748"
Rolling Meadows city,Illinois,IL,"23,732"
Clinton city,Utah,UT,"23,728"
Elmwood Park village,Illinois,IL,"23,698"
Fountain Hills town,Arizona,AZ,"23,696"
Burlington city,Iowa,IA,"23,637"
Loves Park city,Illinois,IL,"23,636"
Munster town,Indiana,IN,"23,634"
Jacksonville Beach city,Florida,FL,"23,630"
Mesquite city,Nevada,NV,"23,599"
North Salt Lake city,Utah,UT,"23,593"
Pottstown borough,Pennsylvania,PA,"23,553"
Lisle village,Illinois,IL,"23,548"
West Memphis city,Arkansas,AR,"23,538"
Kankakee city,Illinois,IL,"23,535"
Webster Groves city,Missouri,MO,"23,525"
Waynesboro city,Virginia,VA,"23,498"
Highland town,Indiana,IN,"23,497"
Duarte city,California,CA,"23,493"
Watertown city,South Dakota,SD,"23,492"
San Fernando city,California,CA,"23,488"
White Bear Lake city,Minnesota,MN,"23,479"
DeBary city,Florida,FL,"23,468"
Hammond city,Louisiana,LA,"23,426"
Albertville city,Alabama,AL,"23,392"
Maywood village,Illinois,IL,"23,364"
Hialeah Gardens city,Florida,FL,"23,328"
Millbrae city,California,CA,"23,321"
Muscatine city,Iowa,IA,"23,298"
Sapulpa city,Oklahoma,OK,"23,297"
Ozark city,Missouri,MO,"23,248"
Oakdale city,California,CA,"23,209"
Waxhaw town,North Carolina,NC,"23,178"
Duncan city,Oklahoma,OK,"23,174"
Freeport city,Illinois,IL,"23,140"
Watauga city,Texas,TX,"23,120"
Summit city,New Jersey,NJ,"23,102"
Maple Heights city,Ohio,OH,"23,081"
Hudson city,Ohio,OH,"23,073"
Trotwood city,Ohio,OH,"23,073"
North Plainfield borough,New Jersey,NJ,"23,072"
Roselle borough,New Jersey,NJ,"23,064"
Suwanee city,Georgia,GA,"23,062"
Marina city,California,CA,"23,047"
Champlin city,Minnesota,MN,"23,045"
Chambersburg borough,Pennsylvania,PA,"23,041"
Keene city,New Hampshire,NH,"23,036"
Central Falls city,Rhode Island,RI,"23,034"
Garden City village,New York,NY,"22,993"
Terrell city,Texas,TX,"22,977"
Hopewell city,Virginia,VA,"22,970"
Rock Springs city,Wyoming,WY,"22,967"
Battle Ground city,Washington,WA,"22,959"
Portsmouth city,New Hampshire,NH,"22,938"
Prairie Village city,Kansas,KS,"22,919"
North Ogden city,Utah,UT,"22,908"
Alton city,Texas,TX,"22,907"
Sunny Isles Beach city,Florida,FL,"22,903"
Roselle village,Illinois,IL,"22,871"
Machesney Park village,Illinois,IL,"22,839"
Columbus city,Mississippi,MS,"22,820"
Shelby city,North Carolina,NC,"22,778"
Lino Lakes city,Minnesota,MN,"22,774"
West Chester borough,Pennsylvania,PA,"22,758"
Shafter city,California,CA,"22,754"
Boerne city,Texas,TX,"22,712"
Secaucus town,New Jersey,NJ,"22,710"
