City,State,code,population
Garden Grove city,California,CA,"172,361"
Oceanside city,California,CA,"170,941"
Fort Collins city,Colorado,CO,"170,924"
Springfield city,Missouri,MO,"170,596"
Murfreesboro city,Tennessee,TN,"168,387"
Surprise city,Arizona,AZ,"167,564"
Lancaster city,California,CA,"167,426"
Denton city,Texas,TX,"165,998"
Roseville city,California,CA,"163,304"
Palmdale city,California,CA,"162,536"
Corona city,California,CA,"161,540"
Salinas city,California,CA,"160,783"
Killeen city,Texas,TX,"160,616"
Paterson city,New Jersey,NJ,"160,463"
Alexandria city,Virginia,VA,"159,102"
Hollywood city,Florida,FL,"159,073"
Hayward city,California,CA,"158,440"
Charleston city,South Carolina,SC,"157,665"
Macon-Bibb County,Georgia,GA,"157,056"
Lakewood city,Colorado,CO,"156,868"
Sunnyvale city,California,CA,"156,792"
Kansas City city,Kansas,KS,"156,752"
Springfield city,Massachusetts,MA,"154,888"
Bellevue city,Washington,WA,"154,377"
Naperville city,Illinois,IL,"153,124"
Joliet city,Illinois,IL,"151,837"
Bridgeport city,Connecticut,CT,"151,599"
Mesquite city,Texas,TX,"150,140"
Pasadena city,Texas,TX,"149,617"
Olathe city,Kansas,KS,"149,035"
Escondido city,California,CA,"148,847"
Savannah city,Georgia,GA,"148,808"
McAllen city,Texas,TX,"148,782"
Gainesville city,Florida,FL,"148,720"
Pomona city,California,CA,"147,966"
Rockford city,Illinois,IL,"147,486"
Thornton city,Colorado,CO,"146,689"
Waco city,Texas,TX,"146,608"
Visalia city,California,CA,"146,271"
Syracuse city,New York,NY,"146,097"
Columbia city,South Carolina,SC,"144,788"
Midland city,Texas,TX,"143,687"
Miramar city,Florida,FL,"143,242"
Palm Bay city,Florida,FL,"142,023"
Jackson city,Mississippi,MS,"141,449"
Coral Springs city,Florida,FL,"140,808"
Victorville city,California,CA,"140,721"
Elizabeth city,New Jersey,NJ,"140,413"
Fullerton city,California,CA,"140,054"
Meridian city,Idaho,ID,"139,740"
Torrance city,California,CA,"139,576"
Stamford city,Connecticut,CT,"139,134"
West Valley City city,Utah,UT,"138,144"
Orange city,California,CA,"137,941"
Cedar Rapids city,Iowa,IA,"137,904"
Warren city,Michigan,MI,"137,686"
Hampton city,Virginia,VA,"137,596"
New Haven city,Connecticut,CT,"137,562"
Pasadena city,California,CA,"137,195"
Kent city,Washington,WA,"136,588"
Dayton city,Ohio,OH,"136,346"
Fargo city,North Dakota,ND,"136,285"
Lewisville city,Texas,TX,"135,983"
Carrollton city,Texas,TX,"135,456"
Round Rock city,Texas,TX,"135,359"
Sterling Heights city,Michigan,MI,"134,342"
Santa Clara city,California,CA,"133,132"
Norman city,Oklahoma,OK,"131,010"
Columbia city,Missouri,MO,"130,900"
Abilene city,Texas,TX,"130,501"
Pearland city,Texas,TX,"129,620"
Athens-Clarke County unified government (balance),Georgia,GA,"128,691"
College Station city,Texas,TX,"128,023"
Clovis city,California,CA,"127,993"
West Palm Beach city,Florida,FL,"127,744"
Allentown city,Pennsylvania,PA,"127,138"
North Charleston city,South Carolina,SC,"126,005"
Simi Valley city,California,CA,"125,778"
Topeka city,Kansas,KS,"125,467"
Wilmington city,North Carolina,NC,"125,284"
Lakeland city,Florida,FL,"124,990"
Thousand Oaks city,California,CA,"124,229"
Concord city,California,CA,"124,016"
Rochester city,Minnesota,MN,"123,624"
Vallejo city,California,CA,"123,475"
Ann Arbor city,Michigan,MI,"122,925"
Broken Arrow city,Oklahoma,OK,"122,756"
Fairfield city,California,CA,"122,646"
Lafayette city,Louisiana,LA,"122,280"
Hartford city,Connecticut,CT,"122,129"
Arvada city,Colorado,CO,"121,873"
Berkeley city,California,CA,"121,749"
Independence city,Missouri,MO,"121,629"
Billings city,Montana,MT,"121,483"
Cambridge city,Massachusetts,MA,"121,186"
Lowell city,Massachusetts,MA,"120,418"
Odessa city,Texas,TX,"119,748"
High Point city,North Carolina,NC,"118,601"
League City city,Texas,TX,"118,456"
Antioch city,California,CA,"118,453"
Richardson city,Texas,TX,"118,221"
Goodyear city,Arizona,AZ,"118,186"
Pompano Beach city,Florida,FL,"118,104"
Nampa city,Idaho,ID,"117,350"
Menifee city,California,CA,"117,041"
Las Cruces city,New Mexico,NM,"116,998"
Clearwater city,Florida,FL,"116,811"
West Jordan city,Utah,UT,"116,688"
New Braunfels city,Texas,TX,"116,477"
Manchester city,New Hampshire,NH,"116,386"
Miami Gardens city,Florida,FL,"116,173"
Waterbury city,Connecticut,CT,"115,908"
Provo city,Utah,UT,"115,479"
Evansville city,Indiana,IN,"115,395"
Richmond city,California,CA,"115,353"
Westminster city,Colorado,CO,"115,302"
Elgin city,Illinois,IL,"114,701"
Conroe city,Texas,TX,"114,581"
Greeley city,Colorado,CO,"114,363"
Lansing city,Michigan,MI,"114,336"
Buckeye city,Arizona,AZ,"114,334"
Tuscaloosa city,Alabama,AL,"114,288"
Allen city,Texas,TX,"113,746"
Carlsbad city,California,CA,"113,575"
Everett city,Washington,WA,"113,011"
Springfield city,Illinois,IL,"112,949"
Beaumont city,Texas,TX,"112,893"
Murrieta city,California,CA,"112,539"
Rio Rancho city,New Mexico,NM,"112,524"
Temecula city,California,CA,"112,431"
Concord city,North Carolina,NC,"112,395"
Tyler city,Texas,TX,"112,219"
Davie town,Florida,FL,"112,052"
South Fulton city,Georgia,GA,"112,003"
Peoria city,Illinois,IL,"111,696"
Sparks city,Nevada,NV,"111,520"
Gresham city,Oregon,OR,"111,507"
Santa Maria city,California,CA,"111,346"
Pueblo city,Colorado,CO,"111,166"
Hillsboro city,Oregon,OR,"110,337"
Sugar Land city,Texas,TX,"109,851"
San Buenaventura (Ventura) city,California,CA,"109,831"
Downey city,California,CA,"109,368"
Costa Mesa city,California,CA,"109,131"
Centennial city,Colorado,CO,"108,853"
